UC_SEQ,MAIN_TITLE,GUGUN_NM,LAT,LNG,PLACE,TITLE,SUBTITLE,ADDR1,ADDR2,CNTCT_TEL,HOMEPAGE_URL,USAGE_DAY_WEEK_AND_TIME,RPRSNTV_MENU,MAIN_IMG_NORMAL,MAIN_IMG_THUMB,ITEMCNTNTS
70,만드리곤드레밥,Gangseo-gu,35.177387,128.95245,Mandeuri Gondeurebap,Mandeuri Gondeurebap (만드리곤드레밥),,"13, Gonghangap-gil 85beon-gil, Gangseo-gu",,051-941-3669,,11:00-21:00,"Stone Pot Gondeure Set,  Smoked Duck in Pumpkin",https://www.visitbusan.net/uploadImgs/files/cntnts/20191209162810545_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191209162810545_thumbL,"Usually, dried gondeure (Korean thistle) is used for gondeurebap (thistle rice).But this place uses fresh gondeure and cooks it in a stone pot.Stone pot gondeure set with doenjang jjigae and over ten side dishes is most popular"
72,만호갈미샤브샤브,Gangseo-gu,35.101425,128.92914,Manho Galmi Shabu-shabu (만호갈미 샤브샤브),Manho-galmi Shabu Shabu (만호갈미 샤브샤브),,"602 Renault Samsung-daero, Gangseo-gu",,051-271-4389,,11:00-21:00,"Hen Clam Shabu Shabu, Galmijogae Samgyeopsal",https://www.visitbusan.net/uploadImgs/files/cntnts/20230525144042660_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230525144042660_thumbL,"The restaurant specializes in hen clams and offers a variety of dishes?shabu-shabu,steamed, and grilled. Also famous for their hearty soup,hen clam shabu shabu and steamed clams are the top picks."
77,민물가든,Gangseo-gu,35.16055,128.89468,,MinmulGarden (민물가든),MinmulGarden (민물가든),"5, Dunchijungang-gil, Gangseo-gu",,+82 51-971-8428,,11:00a.m. ~ 21:00p.m.(break time 15:00~17:00),"Braised Carp with Aged Kimchi,  Braised Carp",https://www.visitbusan.net/uploadImgs/files/cntnts/20191217101816206_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191217101816206_thumbL,"This braised fish restaurant has been operating for 30 years,known for cooking traditionally with wooden steamers. Using seasoning made from more than 20 different ingredients, their most famous dishes are braised carp with aged kimchi and braised carp."
83,부흥식당,Yeongdo-gu,35.085815,129.04071,Buheung Sikdang,Booheung Sikdang (부흥식당),,"104, Jeoryeong-ro, Yeongdo-gu",,051-417-0227,,11:00-21:00,"Jaridomhoe (Raw Slices of Pearl Chromis), Jaridommulhoe (Raw Slices of Pearl Chromis with Cold Soup)",https://www.visitbusan.net/uploadImgs/files/cntnts/20191217113924538_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191217113924538_thumbL,"This is a popular pearl-spot chromis specialty shop in Yeongdo. The fresh fish goes nicely withtheir original sauce. Also famous for their Jeju cutlassfish dishes, the restaurant only sells alimited number of dishes every day"
87,사미헌,Busanjin-gu,35.159008,129.05666,Samihun,Samihun (사미헌),"											)","19, Seomyeonmunhwa-ro, Busanjin-gu",,051-819-6677,,11:00-21:30,"Galbitang (Beef shortrib soup), Myeongjang Set (Master’s Set)",https://www.visitbusan.net/uploadImgs/files/cntnts/20230603145950229_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230603145950229_thumbL,This is a famous Hanwoo beef specialty restaurant visited by heads of state from Korea and abroad.The delectable meat is meticulously and diligently prepared by a skilled Hanwoo master.It is also equipped with private rooms that are great for various banquets and events.
92,원조할매집,Busanjin-gu,35.142147,129.06017,Wonjo Halmaejip,Wonjo Halmaejip (원조할매낙지),,"10, Goldthema-gil, Busanjin-gu",,051-643-5037,,10:00-21:30,"Nakgopsae (small octopus/pork intestines/shrimp),  Various toppings",https://www.visitbusan.net/uploadImgs/files/cntnts/20230601152147360_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230601152147360_thumbL,"One word is enough to introduce this place, which was established in 1968.This is where Busan’s local food, “jobang nakji,” was born.There’s nothing more to add."
94,가야할매밀면,Yeonje-gu,35.185196,129.07988,GayaHalmaeMaemilmyeon,GayaHalmaeMaemilmyeon (가야할매밀면),GayaHalmaeMaemilmyeon (가야할매밀면),"32, World cup-daero 145beon-gil, Yeonje-gu",,+82-51-865-8017,,11:00a.m. ~ 20:00p.m.,"Mul Milmyeon, Bibim Milmyeon",https://www.visitbusan.net/uploadImgs/files/cntnts/20191217201857896_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191217201857896_thumbL,"This restaurant specializes in milmyeon (wheat noodles), a folk dish in Busan. They add more corn starch, which makes them more elastic than others. The broth is made by mixing pork bones, beef bones, various vegetables, and herbs.  The side dish of dumplings is also popular."
95,국제밀면본점,Yeonje-gu,35.19689,129.07785,Gukje Milmyeon Main Branch,Gukje Milmyeon Main Branch (국제밀면본점),,"23-6, Jungang-daero 1235beon-gil, Yeonje-gu",,051-501-5507,,10:00-21:00,"Mul Milmyeon, Bibim Milmyeon",https://www.visitbusan.net/uploadImgs/files/cntnts/20230605164357186_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230605164357186_thumbL,"This place is widely recognized as one of the best spots for milmyeon, mainly for its exceptional taste. It is one of the most famous restaurants among Busan’s many wheat noodle restaurants. They present a distinct type of wheat noodles in beef bone broth. Elsewhere, the meat topping is usually cut by machines, but they are known for hand-pulled thin pieces of brisket."
102,가야밀면,Jung-gu,35.098934,129.03122,Gaya Milmyeon,Gaya Milmyeon (가야밀면),,"56-14, Gwangbok-ro, Jung-gu",,051-246-3314,,10:00-21:00,"Milmyeon, Bibim Milmyeon",https://www.visitbusan.net/uploadImgs/files/cntnts/20230605153300303_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230605153300303_thumbL,"Gaya Milmyeon is a historic restaurant with 40 years of tradition, known for its refreshing broth. You can always find a long queue of people at mealtimes, but thanks to the large hall with 140 seats, the wait is shorter than it seems. The dining space is delightfully clean at all times."
107,김해식당,Jung-gu,35.09748,129.02994,Gimhae Sikdang,Gimhae Sikdang (김해식당),Finish a bowl of rice at once with the flesh of spicy monkfish,"51-2, Jagalchi-ro, Jung-gu",,051-255-8242,,09:30-21:00 ,"Steamed Monkfish, Braised Monkfish",https://www.visitbusan.net/uploadImgs/files/cntnts/20230525160402713_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230525160402713_thumbL,"This is a famous monkfish restaurant, often introduced on TV, serving dishes made of freshmonkfish since 1980. Known for the generous portions of fresh monkfish and specialty cuts,Gimhae Sikdang is also popular among foreign customers."
